element,energy,maxshift,mass,kfactor,errkfact,fullwidth,beamkv,plotrange,excluderange,Source
C,0.282,1,12.01,3,0.3,0.2,10,"[0.132,0.432]",,pulled from arse
N,0.392,1,14.01,1,0.2,0.15,10,"[0.242,0.542]",,pulled from arse
O,0.523,1,16,1.38,0.12,0.15,10,"[0.373,0.673]",,
Mg,1.254,0,24.31,0.594,0.025,0.15,10,"[1.129,1.379]",115-138,enstatite/olivine
Al,1.486,1,26.98,0.66,0.03,0.15,10,"[1.336,1.636]",139-161,match bulk C2010W to CI composition
Si,1.74,1,28.09,0.635,0.03,0.15,10,"[1.615,1.865]",164-193,match bulk C2010W to CI composition
Ti,4.51,1,47.87,2.5,0.1,0.15,10,"[4.36,4.66]","438-467, 479-508",pulled from arse
S,2.307,2,32.07,0.5,0.03,0.15,10,"[2.157,2.457]",225-241,match bulk C2010W to CI composition
Ca,3.69,2,40.08,0.2,0.03,0.15,10,"[3.54,3.84]",359-383,match bulk C2010W to CI composition
Cr,5.41,2,51.99,1,0.1,0.15,10,"[5.26,5.56]","528-554, 579-608",pulled from arse
Fe,6.398,2,55.85,3.28,0.03,0.15,10,"[6.248,6.548]","622-657, 695-718",match bulk C2010W to CI composition
FeL,0.704,0,55.85,2.08,0.03,0.15,10,"[0.554,0.854]",57-79,match bulk C2010W to CI composition (FeL line)
Ni,7.477,2,58.7,2.49,0.03,0.15,10,"[7.327,7.627]","720-769, 802-844",match bulk C2010W to CI composition
Cu,8.046,2,63.55,1,0.1,0.15,10,779-829; 869-912,"790-820, 874-904",pulled from arse
Aum,2.136,0,196.97,0,0,0.15,10,"[1.986,2.286]",,
In,3.29,0,114.82,1,0.1,0.15,10,"[3.14,3.44]",,pulled from arse
In2,3.49,0,114.82,0.4,0.1,0.15,10,"[3.34,3.64]",,relative to In
In3,3.71,0,114.82,0.09,0.1,0.15,10,"[3.56,3.86]",,relative to In
In4,2.9,0,114.82,0.03,0.1,0.15,10,"[2.75,3.05]",,relative to In
In5,3.92,0,114.82,0.01,0.1,0.15,10,"[3.77,4.07]",,relative to In
GaL,1.1,,69.72,1,0.1,0.15,10,"[0.85, 1.35]",95-125,
Ga,9.35,2,69.72,1,0.1,0.15,10,"[9.1, 9.6]","920-950, 1097-1127",
PtM,2.09,1,195.08,1,0.1,0.15,10,"[1.84, 2.34]",194-224,
